family,test_r2,test_rmse
charge_estate,0.7404959819191745,0.22665320407744302
hbond_acceptor,0.7099013838683976,0.23964184138573036
frontier_electronic,0.67870451732711,0.2521982851637875
size_mass_polarity,0.5309097500144713,0.3047319723442882
topology_shape,0.47121492848821334,0.32354106622175827
